序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,688559,海目星,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:92,000万元至98,000万元。",-950000000.0,-340.49,"受锂电、光伏行业产能过剩影响,行业市场竞争加剧,产品价格持续低迷,叠加公司成本管控难度加大,经营承压;同时,公司依据企业会计准则,基于谨慎性原则,对交付中的项目开展减值测试,并计提相应减值损失,对当期利润形成影响。此外,公司为保障长远发展,持续加大战略研发投入,积极布局海外市场,相关费用在短期内也有所增加,进一步影响了本期利润表现。综合上述因素,报告期内公司净利润较上年同期(法定披露数据)亏损有所扩大。",增亏,-215671200.0,2026-01-26
2,688559,海目星,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:85,000万元至91,000万元。",-880000000.0,-439.65,"受锂电、光伏行业产能过剩影响,行业市场竞争加剧,产品价格持续低迷,叠加公司成本管控难度加大,经营承压;同时,公司依据企业会计准则,基于谨慎性原则,对交付中的项目开展减值测试,并计提相应减值损失,对当期利润形成影响。此外,公司为保障长远发展,持续加大战略研发投入,积极布局海外市场,相关费用在短期内也有所增加,进一步影响了本期利润表现。综合上述因素,报告期内公司净利润较上年同期(法定披露数据)亏损有所扩大。",增亏,-163068200.0,2026-01-26
3,688488,艾迪药业,营业收入,"预计2025年1-12月营业收入约:72,101.19万元,同比上年增长:72.57%左右,同比上年增长30,320.72万元左右。",721011900.0,72.57,"2025年年度净利润变动的主要原因:1、报告期内因为抗HIV创新药收入的增加、合并南大药业的经营数据等原因,导致主营业务毛利较上年同期增加了约26,700.00万元;2、报告期内因公司加大新药推广力度、合并南大药业的经营数据等原因,本期销售费用支出较上年同期增加了约9,200.00万元。",预增,417804700.0,2026-01-26
4,688488,艾迪药业,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:1,720万元至2,520万元,同比上年增长:83.02%至88.41%,同比上年增长12,324.54万元至13,124.54万元。",-21200000.0,85.715,"2025年年度净利润变动的主要原因:1、报告期内因为抗HIV创新药收入的增加、合并南大药业的经营数据等原因,导致主营业务毛利较上年同期增加了约26,700.00万元;2、报告期内因公司加大新药推广力度、合并南大药业的经营数据等原因,本期销售费用支出较上年同期增加了约9,200.00万元。",减亏,-148445400.0,2026-01-26
5,688488,艾迪药业,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:1,600万元至2,400万元,同比上年增长:83%至88.67%,同比上年增长11,720.43万元至12,520.43万元。",-20000000.0,85.835,"2025年年度净利润变动的主要原因:1、报告期内因为抗HIV创新药收入的增加、合并南大药业的经营数据等原因,导致主营业务毛利较上年同期增加了约26,700.00万元;2、报告期内因公司加大新药推广力度、合并南大药业的经营数据等原因,本期销售费用支出较上年同期增加了约9,200.00万元。",减亏,-141204300.0,2026-01-26
6,688380,中微半导,营业收入,"预计2025年1-12月营业收入约:112,200万元,同比上年增长:23.07%左右。",1122000000.0,23.07,"(一)新产品推出提升产品竞争力,公司产品出货量持续攀升新产品持续推出,不仅扩充了产品阵容,拓宽了应用领域,同时提升产品竞争力,公司产品出货量持续攀升,营收稳步增长。(二)32位MCU出货量和营收占比扩大公司32位MCU在工业控制和汽车电子领域持续放量,出货数量和营收占比均实现较大幅度增长。(三)公司持有电科芯片股票浮动收益大幅增加,导致归属于母公司所有者的净利润大幅增长。",略增,911654700.0,2026-01-26
7,688380,中微半导,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利约:28,400万元,同比上年增长:107.55%左右,同比上年增长14,716.61万元左右。",284000000.0,107.55,"(一)新产品推出提升产品竞争力,公司产品出货量持续攀升新产品持续推出,不仅扩充了产品阵容,拓宽了应用领域,同时提升产品竞争力,公司产品出货量持续攀升,营收稳步增长。(二)32位MCU出货量和营收占比扩大公司32位MCU在工业控制和汽车电子领域持续放量,出货数量和营收占比均实现较大幅度增长。(三)公司持有电科芯片股票浮动收益大幅增加,导致归属于母公司所有者的净利润大幅增长。",预增,136833900.0,2026-01-26
8,688380,中微半导,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利约:16,900万元,同比上年增长:85.36%左右,同比上年增长7,782.53万元左右。",169000000.0,85.36,"(一)新产品推出提升产品竞争力,公司产品出货量持续攀升新产品持续推出,不仅扩充了产品阵容,拓宽了应用领域,同时提升产品竞争力,公司产品出货量持续攀升,营收稳步增长。(二)32位MCU出货量和营收占比扩大公司32位MCU在工业控制和汽车电子领域持续放量,出货数量和营收占比均实现较大幅度增长。(三)公司持有电科芯片股票浮动收益大幅增加,导致归属于母公司所有者的净利润大幅增长。",预增,91174700.0,2026-01-26
9,688232,新点软件,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:2,498.34万元至3,818.34万元,同比上年下降:122.01%至133.63%,同比上年降低13,851.42万元至15,171.42万元。",-31583400.0,-127.82,"报告期内,智慧政务业务下滑较多,主要受客户预算的影响,部分项目从立项到验收的整体进度有所放缓;公司为把握行业发展机遇,巩固核心技术竞争优势,持续在高端人才引进、科技创新研发等领域保持战略性投入。同时公司通过优化组织架构、削减非必要开支、提升资源利用效率等措施,加强对研发、管理及销售费用的精细化管控,期间费用同比下降。持续加强回款管理,全年销售回款约为22亿元,预计公司经营活动产生的现金流量净额为净流入,持续健康的现金流表现,为未来的高质量发展奠定基础。",首亏,113530800.0,2026-01-26
10,688232,新点软件,营业收入,"预计2025年1-12月营业收入:182,000万元,同比上年下降:15.2%。",1820000000.0,-15.2,"报告期内,智慧政务业务下滑较多,主要受客户预算的影响,部分项目从立项到验收的整体进度有所放缓;公司为把握行业发展机遇,巩固核心技术竞争优势,持续在高端人才引进、科技创新研发等领域保持战略性投入。同时公司通过优化组织架构、削减非必要开支、提升资源利用效率等措施,加强对研发、管理及销售费用的精细化管控,期间费用同比下降。持续加强回款管理,全年销售回款约为22亿元,预计公司经营活动产生的现金流量净额为净流入,持续健康的现金流表现,为未来的高质量发展奠定基础。",略减,2146288000.0,2026-01-26
